City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fortuna foothills,32.6578,-114.4119,303.83,10,0,4.63,US,1715282365
83,nemuro,43.3236,145.575,276.83,91,100,3.8,JP,1715282366
84,jijiga,9.35,42.8,293.35,77,8,2.27,ET,1715282367
85,lebu,-37.6167,-73.65,285.33,76,100,3.66,CL,1715282367
86,as sulayyil,20.4607,45.5779,306.29,27,45,6.11,SA,1715282368
87,mahibadhoo,3.7833,72.9667,302.25,76,100,4.32,MV,1715282369
88,wailua homesteads,22.0669,-159.378,298.39,83,75,2.57,US,1715282370
89,cangzhou,38.3167,116.8667,293.59,39,97,8.54,CN,1715282370
90,bikenibeu village,1.3673,173.1241,301.13,89,40,1.54,KI,1715282371
91,as samawah,31.332,45.2944,301.31,19,0,5.03,IQ,1715282372
92,naeso,35.2497,128.52,284.75,93,0,0.51,KR,1715282373
93,hermanus,-34.4187,19.2345,287.85,78,0,5.8,ZA,1715282374
94,fale old settlement,-9.3852,-171.2468,302.14,74,100,2.6,TK,1715282375
95,flin flon,54.7682,-101.865,292.06,34,75,4.63,CA,1715282376
96,coronado,32.6859,-117.1831,295.58,67,40,4.12,US,1715282182
97,chos malal,-37.3781,-70.2709,286.85,20,15,2.0,AR,1715282378
98,sosnovyy bor,59.9,29.1167,279.18,85,48,6.18,RU,1715282379
99,tura,25.5198,90.2201,293.96,86,100,2.0,IN,1715282380
100,lihue,21.9789,-159.3672,298.73,80,75,2.57,US,1715282381
101,uturoa,-16.7333,-151.4333,300.87,73,14,6.17,PF,1715282382
102,peace river,56.2501,-117.286,292.32,25,40,5.66,CA,1715282383
103,tarinkot,32.6268,65.8733,295.35,44,70,2.64,AF,1715282384
104,celestun,20.8667,-90.4,308.6,48,100,3.73,MX,1715282385
105,remire-montjoly,4.9167,-52.2667,302.17,79,100,6.17,GF,1715282386
106,weymouth,42.2209,-70.9398,292.73,67,0,4.63,US,1715282387
107,caconda,-13.7333,15.0667,291.58,70,31,2.03,AO,1715282387
108,saudarkrokur,65.7461,-19.6394,281.24,50,100,4.01,IS,1715282388
109,kimbe,-5.5502,150.1429,298.29,94,98,1.61,PG,1715282389
110,vadso,70.0744,29.7487,274.24,69,0,6.69,NO,1715282390
111,caninde,-4.3589,-39.3117,302.2,69,98,3.12,BR,1715282391
112,bagarji,27.756,68.7524,310.64,19,0,7.92,PK,1715282392
113,bubaque,11.2833,-15.8333,300.08,74,99,6.3,GW,1715282393
114,rawlins,41.7911,-107.2387,280.09,70,100,6.69,US,1715282395
115,werota,11.9167,37.7,298.51,38,62,2.19,ET,1715282396
116,okhotsk,59.3833,143.3,272.97,91,100,7.41,RU,1715282397
117,isangel,-19.55,169.2667,293.21,83,75,0.0,VU,1715282398
118,sao jose da coroa grande,-8.8978,-35.1478,300.54,76,100,5.15,BR,1715282399
119,margate,51.3813,1.3862,289.09,72,15,1.34,GB,1715282400
120,vikulovo,56.8167,70.6107,284.38,88,100,7.66,RU,1715282401
121,springbok,-29.6643,17.8865,288.3,56,0,1.56,ZA,1715282402
122,neryungri,56.6709,124.6491,264.37,95,49,0.88,RU,1715282403
123,walvis bay,-22.9575,14.5053,290.68,72,1,1.54,NA,1715282403
124,plainview,40.7765,-73.4673,293.53,56,0,1.54,US,1715282404
125,newman,37.3138,-121.0208,301.07,41,4,4.02,US,1715282405
126,grand forks,47.9417,-97.4337,294.11,29,0,6.17,US,1715282370
127,ola,59.5833,151.2833,273.23,91,27,1.21,RU,1715282407
128,jamestown,42.097,-79.2353,289.27,51,0,5.14,US,1715282408
129,hithadhoo,-0.6,73.0833,302.4,77,100,4.49,MV,1715282409
130,greymouth,-42.4667,171.2,274.96,82,12,3.44,NZ,1715282410
131,tarumovka,44.0761,46.5361,286.84,58,100,4.09,RU,1715282411
132,sao gabriel da cachoeira,-0.1303,-67.0892,303.04,79,20,1.03,BR,1715282411
133,nova sintra,14.8667,-24.7167,296.92,78,1,10.2,CV,1715282412
134,lazaro cardenas,17.9583,-102.2,300.99,59,86,4.58,MX,1715282413
135,prince rupert,54.3161,-130.3201,285.2,74,100,2.06,CA,1715282414
136,praia,14.9215,-23.5087,300.45,57,40,7.72,CV,1715282415
137,port alfred,-33.5906,26.891,289.92,95,0,0.63,ZA,1715282416
138,qaqortoq,60.7167,-46.0333,277.7,63,100,1.21,GL,1715282417
139,aral,40.5156,81.2636,299.16,21,89,9.36,CN,1715282417
140,santa marinella,42.0345,11.8536,294.0,79,100,4.73,IT,1715282418
141,youghal,51.95,-7.8506,286.71,100,100,3.22,IE,1715282419
142,el calafate,-50.3408,-72.2768,274.79,91,100,1.13,AR,1715282421
143,vorgashor,67.5833,63.95,270.82,74,100,9.19,RU,1715282422
144,bredasdorp,-34.5322,20.0403,285.54,85,0,2.46,ZA,1715282423
145,hammerfest,70.6634,23.6821,274.4,80,75,4.63,NO,1715282424
146,mossel bay,-34.1831,22.146,285.11,86,2,1.57,ZA,1715282425
147,christchurch,-43.5333,172.6333,275.64,86,0,4.12,NZ,1715282308
148,dalbandin,28.8947,64.4101,305.12,17,11,8.31,PK,1715282427
149,chui,-33.6971,-53.4616,288.06,66,0,2.31,UY,1715282428
150,tomatlan,19.9333,-105.25,307.1,33,0,5.43,MX,1715282429
151,murghob,38.1702,73.9667,275.12,41,100,2.4,TJ,1715282430
152,horta,38.5333,-28.6333,291.95,84,40,5.66,PT,1715282431
153,margaret river,-33.95,115.0667,292.35,84,6,6.18,AU,1715282432
154,port lincoln,-34.7333,135.8667,286.91,81,0,4.28,AU,1715282433
155,salym,60.0625,71.4789,286.14,95,92,4.81,RU,1715282434
